date,price,investment,shares_bought,total_invested,total_shares,current_value,return_pct
2015-04-09 00:00:00-04:00,175.76290893554688,1698.138952983709,9.661531908341509,1698.138952983709,9.661531908341509,1698.138952983709,0.0
2015-06-09 00:00:00-04:00,175.38430786132812,2250.0,12.82896986302228,3948.138952983709,22.49050177136379,3944.481086624612,-0.09264786276917567
2015-07-09 00:00:00-04:00,173.23599243164062,2170.0410019879637,12.526501978763262,6118.1799549716725,35.01700375012705,6066.205396635742,-0.8495101274962662
2015-09-09 00:00:00-04:00,164.68829345703125,4500.0,27.324346530884984,10618.179954971672,62.34135028101204,10266.890589586888,-3.3083764531632607
2015-10-09 00:00:00-04:00,171.1026153564453,1260.570407318991,7.367335704909822,11878.750362290664,69.70868598592186,11927.338485252418,0.40903395963263495
2015-11-09 00:00:00-05:00,176.83917236328125,1000.0,5.654855689698078,12878.750362290664,75.36354167561994,13327.226336282285,3.4822941774286638
2015-12-09 00:00:00-05:00,174.51060485839844,1598.6532044878868,9.160779688919579,14477.40356677855,84.52432136453952,14750.39044657144,1.8856066181598758
2016-02-09 00:00:00-05:00,158.52767944335938,1544.751821647136,9.744366580468762,16022.155388425686,94.26868794500828,14944.196344092348,-6.727927786245598
2016-03-09 00:00:00-05:00,170.45382690429688,1100.0451225825464,6.453625257707933,17122.200511008232,100.72231320271621,17168.503740056163,0.27042802715785297
2016-05-09 00:00:00-04:00,176.9272003173828,2250.0,12.717094917931288,19372.200511008232,113.4394081206475,20070.51688444714,3.6047343875162325
2016-06-09 00:00:00-04:00,182.2464599609375,1500.0,8.230612546995472,20872.200511008232,121.67002066764297,22173.930550052035,6.236668904925747
2016-08-09 00:00:00-04:00,188.46331787109375,1500.0,7.959108525437182,22372.200511008232,129.62912919308016,24430.335780468544,9.199520934239827
2016-09-09 00:00:00-04:00,184.2307586669922,3000.0,16.283925777142755,25372.200511008232,145.9130549702229,26881.6728165827,5.949315688718267
2016-11-09 00:00:00-05:00,187.8527069091797,1000.0,5.323319618084958,26372.200511008232,151.23637458830785,28410.162349544305,7.727689760607544
2016-12-09 00:00:00-05:00,196.64710998535156,1500.0,7.627877165912769,27872.200511008232,158.86425175422062,31240.1959874528,12.083708550799086
2017-01-09 00:00:00-05:00,197.76255798339844,1500.0,7.584853347851217,29372.200511008232,166.44910510207183,32917.40079903326,12.06991722222632
2017-02-09 00:00:00-05:00,201.37794494628906,1500.0,7.448680640772631,30872.200511008232,173.89778574284446,35019.178723604105,13.432726349121657
2017-03-09 00:00:00-05:00,206.8446044921875,1500.0,7.251820774743268,32372.200511008232,181.14960651758773,37469.818714045825,15.746900496628696
